KLDO data file V101
[{PARAMETERS}]
[{TotalTime}]
10:30

[{PreTemp}]
210

[{CookDate}]
26-04-19 17:08:29

[{Comment}]
sim

[{EVENT}]
[{StartBeansIn}]
210@00:00

[{TemperBack}]
102@00:43

[{TurntoYellow}]
150@03:28

[{1stBoomStart}]


[{1stBoomEnd}]

[{2ndBoomStart}]

[{2ndBoomEnd}]

[{BeansColdDown}]
240@10:30

[{DATA}]
Index,Time,BT,ET,RoR,SV,HPM,HP,SM,RL,PS
118,118000,121,261,15.90,0,M,80,30,70,O
119,119000,121,261,16.03,0,M,80,30,70,O
120,120000,121,262,16.16,0,M,80,30,70,O
121,121000,122,262,16.27,0,M,80,30,70,O
122,122000,122,263,16.39,0,M,80,30,70,O
123,123000,122,263,16.49,0,M,80,30,70,O
124,124000,122,263,16.59,0,M,80,30,70,O
125,125000,123,264,16.69,0,M,80,30,70,O
126,126000,123,264,16.78,0,M,80,30,70,O
127,127000,123,265,16.87,0,M,80,30,70,O
128,128000,124,265,16.95,0,M,80,30,70,O
129,129000,124,266,17.03,0,M,80,30,70,O
130,130000,124,266,17.11,0,M,80,30,70,O
131,131000,125,266,17.18,0,M,80,30,70,O
132,132000,125,267,17.24,0,M,80,30,70,O
133,133000,125,267,17.31,0,M,80,30,70,O
134,134000,126,268,17.37,0,M,80,30,70,O
135,135000,126,268,17.43,0,M,80,30,70,O
136,136000,126,269,17.48,0,M,80,30,70,O
137,137000,126,269,17.53,0,M,80,30,70,O
138,138000,127,269,17.58,0,M,80,30,70,O
139,139000,127,270,17.63,0,M,80,30,70,O
140,140000,127,270,17.67,0,M,80,30,70,O
141,141000,128,271,17.71,0,M,80,30,70,O
142,142000,128,271,17.76,0,M,85,30,70,O
143,143000,128,272,17.81,0,M,90,30,70,O
144,144000,129,272,17.86,0,M,90,30,70,O
145,145000,129,273,17.92,0,M,90,30,70,O
146,146000,129,273,17.98,0,M,90,30,70,O
147,147000,130,274,18.05,0,M,90,30,70,O
148,148000,130,274,18.12,0,M,90,30,70,O
149,149000,130,275,18.19,0,M,90,30,70,O
150,150000,131,275,18.26,0,M,90,30,70,O
151,151000,131,276,18.33,0,M,90,30,70,O
152,152000,131,276,18.40,0,M,90,30,70,O
153,153000,132,277,18.47,0,M,90,30,70,O
154,154000,132,277,18.54,0,M,90,30,70,O
155,155000,132,278,18.61,0,M,90,30,70,O
156,156000,133,278,18.68,0,M,90,30,70,O
157,157000,133,279,18.75,0,M,90,30,70,O
158,158000,133,279,18.81,0,M,90,30,70,O
159,159000,134,280,18.88,0,M,90,30,70,O
160,160000,134,280,18.95,0,M,90,30,70,O
161,161000,134,281,19.01,0,M,90,30,70,O
162,162000,135,281,19.07,0,M,90,30,70,O
163,163000,135,282,19.13,0,M,90,30,70,O
164,164000,135,282,19.19,0,M,90,30,70,O
165,165000,136,283,19.24,0,M,90,30,70,O
